x_mm,y_mm,z_mm,edep_keV
-2.88865,0.470845,-7.83991,0.192126
-2.88869,0.470853,-7.83992,0.209676
-2.88869,0.470891,-7.83993,1.65572
-2.88869,0.47088,-7.83989,0.0660419
-2.88869,0.470859,-7.83986,0.0123654
-2.88868,0.470845,-7.83985,0.0107229
-2.88868,0.470848,-7.83985,0.0556094
-2.88867,0.470852,-7.83985,0.061166
-0.23281,0.102321,6.81014,11.684
-0.211644,0.102321,6.81014,0.0968644
-0.211609,0.102339,6.81012,13.2191
-2.95249,1.77377,4.69008,9.884
-2.92465,1.77377,4.69008,0.329951
-2.92467,1.77377,4.69013,14.786
-1.65235,0.213486,-0.911939,11.139
-1.6509,0.213486,-0.911939,0.451887
-1.65087,0.213472,-0.911972,13.4091
-1.76276,2.46676,5.50792,11.139
-1.72366,2.46676,5.50792,0.941275
-1.72363,2.46674,5.50792,12.9197
-2.74663,1.37299,-3.70894,9.884
-2.74632,1.37299,-3.70894,0.39131
-2.7463,1.37304,-3.70895,0.0414279
-2.74628,1.37308,-3.70897,0.939029
-2.74625,1.37311,-3.70899,0.0299211
-2.74622,1.37312,-3.70902,0.0315083
-2.7462,1.37311,-3.70906,1.01569
-2.74619,1.37308,-3.70909,0.238603
-2.74616,1.37305,-3.70909,0.177937
-2.74613,1.37303,-3.70911,12.2506
-2.65192,1.70946,5.4025,11.139
-2.6236,1.70946,5.4025,0.97456
-2.62357,1.70948,5.40248,12.8864
-2.99028,1.65272,-5.53452,11.139
-2.97001,1.65272,-5.53452,0.60727
-2.97002,1.65268,-5.5345,13.2537
-4.32229,3.81997,-8.4502,11.139
-4.31597,3.81997,-8.4502,1.67248
-4.31596,3.82,-8.45019,12.1885
-1.25282,0.665285,4.56337,11.684
-1.26711,0.664403,4.57813,0.354305
-1.26712,0.664439,4.57812,12.9617
-2.4548,0.83534,-1.85793,2.197
-2.44964,0.83534,-1.85793,0.966483
-2.4496,0.835261,-1.85796,21.8365
-3.33095,5.06801,-8.53316,11.684
-3.33075,5.06811,-8.53318,0.222573
-3.33074,5.06814,-8.53321,13.0934
-3.08998,1.23148,-7.65407,11.139
-3.02244,1.23148,-7.65407,0.0523643
-3.02245,1.23149,-7.6541,13.8086
-2.8615,2.3823,-5.18143,9.884
-2.83696,2.3823,-5.18143,0.441013
-2.83692,2.3823,-5.1814,14.675
-2.92577,1.68328,4.89805,9.884
-2.92353,1.68328,4.89805,0.584429
-2.92353,1.68326,4.89808,14.5316
-2.57392,2.13838,-7.76737,11.139
-2.56511,2.13859,-7.76641,0.172213
-2.56514,2.1386,-7.7664,13.6888
-5.00604,1.49282,-8.57469,2.472
-5.00279,1.49282,-8.57469,2.93546
-5.00279,1.49282,-8.5746,19.5925
-0.631085,0.797446,6.93442,2.197
-0.624422,0.797446,6.93442,0.347999
-0.624366,0.797374,6.93447,22.455
-1.36876,0.972356,3.35722,9.884
-1.35411,0.972356,3.35722,0.172234
-1.35409,0.972364,3.35723,14.9438
-2.95586,1.41016,-6.31237,9.884
-2.92037,1.41016,-6.31237,0.583634
-2.9204,1.4102,-6.31235,14.5324
-2.89186,1.57951,4.55093,2.197
-2.8859,1.57951,4.55093,0.180156
-2.88587,1.57949,4.55102,22.6228
1.83578,0.143875,-1.99931,1.737
1.87338,0.143875,-1.99931,0.405068
1.87344,0.143844,-1.99925,22.8579
-1.57946,1.33774,3.02368,11.139
-1.53793,1.33774,3.02368,0.168242
-1.53797,1.33771,3.02368,13.6928
-2.98917,1.45719,-5.27053,11.139
-2.9627,1.45719,-5.27053,0.047251
-2.96269,1.45715,-5.2705,13.8137
-1.7407,6.03499,-8.70492,11.684
-1.72914,6.03499,-8.70492,0.902915
-1.72914,6.03503,-8.70494,12.4131
-2.62561,0.880631,-3.48745,11.139
-2.5338,0.880631,-3.48745,0.858582
-2.53377,0.880609,-3.48742,13.0024
-3.59641,1.14284,1.23745,9.884
-3.59314,1.14284,1.23745,0.734341
-3.59313,1.14283,1.23747,14.3817
-1.35729,3.71791,1.46259,11.139
-1.31953,3.71791,1.46259,0.931103
-1.31956,3.7179,1.4626,12.9299
-1.89333,0.518542,-1.01857,11.139
-1.85124,0.524409,-1.02886,0.118751
-1.85126,0.524447,-1.02888,13.7422
-2.69999,1.1746,-3.21285,11.684
-2.66534,1.1746,-3.21285,0.0371012
-2.66531,1.17459,-3.21282,13.2789
0.0371486,1.93958,7.98935,11.684
0.0396582,1.93958,7.98935,0.838628
0.0396462,1.93957,7.98939,12.4774
-1.04089,2.81499,4.68241,11.684
-1.03767,2.81499,4.68241,1.16976
-1.0377,2.81502,4.68242,12.1462
-4.99565,1.49754,-8.97886,9.884
-4.98525,1.49754,-8.97886,0.686269
-4.98525,1.49757,-8.9789,14.4297
-3.37962,2.6534,2.78214,2.712
-3.37872,2.6534,2.78214,0.160174
-3.37868,2.65345,2.7822,1.09171
-3.37864,2.65345,2.78226,0.825723
-3.37863,2.65344,2.78217,0.641831
-3.37862,2.65346,2.7821,0.223119
-3.37864,2.65351,2.78205,0.116583
-3.37866,2.65357,2.782,0.409688
-3.37867,2.65363,2.78195,1.11146
-3.37869,2.65367,2.7819,0.193812
-3.3787,2.65371,2.78184,0.122038
-3.37868,2.65376,2.7818,1.2143
-3.37863,2.6538,2.78179,0.130192
-3.37859,2.65378,2.78176,0.0675577
-3.37857,2.65374,2.78173,0.371244
-3.37854,2.6537,2.78171,0.102777
-3.37854,2.65368,2.78166,0.184186
-3.37854,2.65363,2.78167,0.0924676
-3.37851,2.6536,2.78171,15.2291
-0.836208,1.23313,7.83219,11.139
-0.815345,1.23313,7.83219,0.406419
-0.815321,1.23309,7.83217,13.4546
-4.57871,3.37666,-8.47487,0.469
-4.55247,3.37666,-8.47487,0.50991
-4.5524,3.37658,-8.47487,24.0211
-3.47144,1.73495,2.95026,2.472
-3.46887,1.73495,2.95026,0.239584
-3.4689,1.73486,2.95023,0.434429
-3.46891,1.73479,2.9502,2.52611
-3.46896,1.73473,2.9502,0.120141
-3.46901,1.73473,2.95019,0.303629
-3.46907,1.73476,2.95022,1.71007
-3.46913,1.73478,2.95025,0.110737
-3.46918,1.73479,2.95029,1.02347
-3.4692,1.73483,2.95032,0.157098
-3.46918,1.73488,2.95035,0.219198
-3.4692,1.73493,2.95035,0.0455971
-3.4692,1.73495,2.95039,0.522435
-3.46921,1.73493,2.95044,0.0590923
-3.46925,1.73492,2.95047,0.386164
-3.46926,1.7349,2.95051,0.0917255
-3.46929,1.73488,2.95054,0.440977
-1.6313,3.54856,1.55153,11.684
-1.56727,3.54856,1.55153,2.05397
-1.56727,3.54852,1.5515,11.262
-2.97528,1.89905,-4.8817,9.884
-2.95771,1.89905,-4.8817,1.44204
-2.95766,1.89906,-4.88173,13.674
-2.87431,1.45364,4.8355,9.884
-2.86767,1.45364,4.8355,3.94966
-2.86767,1.45361,4.83549,11.1663
2.01578,2.66609,-7.13352,11.139
2.06809,2.66609,-7.13352,0.0586454
2.06812,2.66609,-7.13348,13.8024
-2.80265,1.08089,-5.86285,9.884
-2.77479,1.08089,-5.86285,0.149149
-2.7748,1.08086,-5.86289,14.9669
-0.991537,1.4805,6.67302,11.139
-0.971365,1.4805,6.67302,0.214507
-0.971398,1.48052,6.673,13.6465
-0.901818,1.84449,6.76353,1.796
-0.83427,1.84449,6.76353,0.857425
-0.834184,1.84452,6.76357,22.3466
2.03938,2.65308,-7.64322,11.684
2.06991,2.65308,-7.64322,0.255979
2.06988,2.65306,-7.64323,13.06
-3.98195,1.22734,0.181425,2.712
-3.91324,1.22734,0.181425,0.260662
-3.91324,1.22732,0.181519,22.0273
-1.28368,0.668522,4.61558,11.684
-1.26325,0.668522,4.61558,0.0749764
-1.26326,0.668503,4.61554,13.241
-3.50613,0.750001,0.5863,2.712
-3.48472,0.750001,0.5863,0.0202263
-3.48467,0.749956,0.586357,22.2678
-0.714641,0.813616,8.18801,9.884
-0.708526,0.813616,8.18801,0.351788
-0.708495,0.81364,8.188,14.7642
-1.86373,2.28683,1.18062,11.684
-1.85447,2.28683,1.18062,2.74222
-1.85447,2.28679,1.18062,10.5738
-0.371281,1.74472,8.08872,9.884
-0.31125,1.74472,8.08872,0.784781
-0.311236,1.74471,8.08873,14.3312
-0.910748,1.00354,6.52378,2.472
-0.883526,1.00354,6.52378,0.361302
-0.883454,1.00358,6.52372,22.1667
1.33674,3.42703,-2.16911,11.684
1.35038,3.42703,-2.16911,0.712217
1.35039,3.42703,-2.16915,12.6038
